@T,table
Created,2019-11-16 11:12
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2015-07-21 00:00,0.0
,2015-07-21 01:00,0.0
,2015-07-21 02:00,0.0
,2015-07-21 03:00,0.0
,2015-07-21 04:00,0.0
,2015-07-21 05:00,0.0
,2015-07-21 06:00,0.0
,2015-07-21 07:00,233.79167652514099
,2015-07-21 08:00,462.4452443423824
,2015-07-21 09:00,618.9479892486622
,2015-07-21 10:00,742.6702238288913
,2015-07-21 11:00,815.5117853360099
,2015-07-21 12:00,857.7879308575062
,2015-07-21 13:00,845.416945481686
,2015-07-21 14:00,787.9019616460231
,2015-07-21 15:00,699.238664233626
,2015-07-21 16:00,571.5430284763787
,2015-07-21 17:00,399.74564226584084
,2015-07-21 18:00,219.26257146904098
,2015-07-21 19:00,0.0
,2015-07-21 20:00,0.0
,2015-07-21 21:00,0.0
,2015-07-21 22:00,0.0
,2015-07-21 23:00,0.0

