@T,table
Created,2020-01-09 21:45
Author,HortonMachine library
@H,timestamp,value_4
ID,,4
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2012-07-15 00:30,-9999
,2012-07-15 01:00,-9999
,2012-07-15 01:30,-9999
,2012-07-15 02:00,0.0
,2012-07-15 02:30,0.0
,2012-07-15 03:00,0.0
,2012-07-15 03:30,0.0
,2012-07-15 04:00,-9999
,2012-07-15 04:30,-0.0
,2012-07-15 05:00,0.0
,2012-07-15 05:30,-9999
,2012-07-15 06:00,-9999
,2012-07-15 06:30,-9999
,2012-07-15 07:00,-9999
,2012-07-15 07:30,-9999
,2012-07-15 08:00,215.55231377240426
,2012-07-15 08:30,202.3276717370783
,2012-07-15 09:00,42.710019114831375
,2012-07-15 09:30,-9999
,2012-07-15 10:00,-9999
,2012-07-15 10:30,249.50843158181587
,2012-07-15 11:00,290.98565847042363
,2012-07-15 11:30,297.2253389996526
,2012-07-15 12:00,255.53858467711368
,2012-07-15 12:30,190.24411797754937
,2012-07-15 13:00,294.84887483883017
,2012-07-15 13:30,153.57223171023264
,2012-07-15 14:00,-9999
,2012-07-15 14:30,-9999
,2012-07-15 15:00,-9999
,2012-07-15 15:30,119.61021096181413
,2012-07-15 16:00,194.31841292327408
,2012-07-15 16:30,160.70187443515985
,2012-07-15 17:00,83.77164274522563
,2012-07-15 17:30,46.943603836285135
,2012-07-15 18:00,22.18039744435343
,2012-07-15 18:30,0.0
,2012-07-15 19:00,0.0
,2012-07-15 19:30,-9999
,2012-07-15 20:00,-9999
,2012-07-15 20:30,0.0
,2012-07-15 21:00,-9999
,2012-07-15 21:30,-9999
,2012-07-15 22:00,-9999
,2012-07-15 22:30,-9999
,2012-07-15 23:00,-9999
,2012-07-15 23:30,-9999

